"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"d:\学习\大三上\java\ydhlw\ydhlw\src\App.vue", "Vue", 0, 62, 0, 6, 68
"d:\学习\大三上\java\ydhlw\ydhlw\src\api\events.js", "JavaScript", 18, 0, 0, 3, 21
"d:\学习\大三上\java\ydhlw\ydhlw\src\api\registration.js", "JavaScript", 12, 0, 0, 4, 16
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\CustomHeader.vue", "Vue", 0, 54, 0, 8, 62
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EditEventForm.vue", "Vue", 0, 169, 2, 6, 177
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EventCard.vue", "Vue", 0, 73, 0, 3, 76
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EventCard2.vue", "Vue", 0, 38, 0, 3, 41
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\EventForm.vue", "Vue", 0, 148, 0, 7, 155
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\ParticipantTable.vue", "Vue", 0, 91, 7, 4, 102
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\RegistrationItem.vue", "Vue", 0, 31, 0, 3, 34
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\RegistrationList.vue", "Vue", 0, 150, 0, 7, 157
"d:\学习\大三上\java\ydhlw\ydhlw\src\components\StatusUpdater.vue", "Vue", 0, 36, 0, 2, 38
"d:\学习\大三上\java\ydhlw\ydhlw\src\main.js", "JavaScript", 25, 0, 4, 8, 37
"d:\学习\大三上\java\ydhlw\ydhlw\src\router\index.js", "JavaScript", 56, 0, 1, 5, 62
"d:\学习\大三上\java\ydhlw\ydhlw\src\store\index.js", "JavaScript", 48, 0, 0, 3, 51
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EditEvent.vue", "Vue", 0, 12, 0, 3, 15
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EventDetail.vue", "Vue", 0, 37, 0, 3, 40
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EventList.vue", "Vue", 0, 88, 1, 5, 94
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\EventOverview.vue", "Vue", 0, 58, 0, 3, 61
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\Login.vue", "Vue", 0, 91, 0, 7, 98
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\NewEvent.vue", "Vue", 0, 14, 0, 3, 17
"d:\学习\大三上\java\ydhlw\ydhlw\src\views\RegistrationPage.vue", "Vue", 0, 25, 0, 3, 28
"Total", "-", 159, 1177, 15, 99, 1450